"Data Source","World Development Indicators",

"Last Updated Date","2020-05-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398144981.36327","473189049.925187","579384500.969464","684019446.829983","757121754.065994","864373367.626095","948798395.736128","1065102612.6836","1225688253.10539","1305279329.60894","1362139664.80447","1508759776.53631","1659513966.48045","1680117318.43575","1849430167.59777","1862849162.01117","1805642458.10056","1967821229.05028","2154189944.13408","1852067039.10615","2318715083.79888","2230335195.53073","2628547486.03352","2410055865.92179","2250223463.68715","2302793296.08939","2418547486.03352","2416983240.22346","2546871508.37989","2566871508.37989","2511731843.57542","2530000000","","",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","","","","","","","","","","12403617031.0117","15884505936.6812","17784867183.374","20033260270.4398","20632790720.5105","20482502575.2701","20087073273.7358","19458784523.7201","20291074614.3359","19485109595.9512","",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6684491978.60963","6684491978.60963","6684491978.60963","6684491978.60963","10026737967.9144","10026737967.9144","10603784541.197","3498025673.08989","3237547175.39543","1943279029.73498","4771491965.00864","5829677653.68921","6730621459.63535","5537462252.37138","4780892936.47718","7448734815.41876","7375076435.20009","13650938445.0336","16086223836.3248","21063484641.148","32940028095.7467","46203141535.012","57667420502.4111","74821071498.8259","63484025273.4841","75712633817.0538","102092364937.169","117631104835.128","126809806035.747","136862296865.59","110286109824.447","95864386153.551","118386043571.446","101046521418.182","",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860538011.88334","1898450133.4326","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894751525.25858","2436364853.42107","3271442591.26173","2308870570.55215","2623047752.71236","3287195806.66184","3586734166.15743","4070817915.21648","4475531638.29414","5783429392.4242","7360280000.31168","8226134275.15488","9159095071.11884","10974641470.1657","12936158341.5381","11851854066.3585","11807255327.2963","12893983508.598","12228723553.075","12996577592.9864","13350553941.4406","11521106133.8131","12054491076.6718","13059105109.4167","15085311980.2721","",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","32258056615.1338","36856481513.1563","43793074237.8155","54582657808.039","105716695991.966","121524522490.202","151961258739.611","171397948903.356","189336219473.32","249360130420.086","336463782608.925","342878878228.74","324685812939.851","309935357853.595","314165139688.608","313418954581.836","305852014946.596","324684109034.265","319355884749.93","332713695851.906","457363164170.012","438198638872.766","470293253190.876","478854468729.891","487281154069.239","531583016189.403","582900364937.535","616684298477.911","600759577947.188","641225475055.582","722548154179.574","715369250907.542","726666705317.1","816903970292.549","960187766901.865","1180713033194.54","1409944694950.49","1657053242183.46","2093584792045.46","1795370853533.61","2092601070804.96","2482262809360.17","2771112668850.57","2834088281199.49","2898020542950.13","2556550990777.6","2529435076521.41","2606915462420.44","2802950488789.04","",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503785176.83","226854458815.521","266289176310.415","319278564002.723","256161470388.019","289703471749.49","350801361470.388","374890129339.687","390570456092.58","403796051735.875","359877739959.156","359141729067.393","380478459769.029","416166689358.987","",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","","","25083407626.9357","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8777","26044571826.7842","31036571602.8723","30396317996.8419","33634600190.9299","34199500220.4044","52722220653.6761","72679890116.6394","53148109437.7931","51185002820.9107","56339203223.2598","57716474115.782","68626165140.837","76286574002.8188","76842107526.2031","79243829293.0471","98072174234.6778","74996801894.5786","83672502113.7452","105922220616.456","105942857983.875","120715908148.068","70219462542.1818","135150027050.147","183857364656.529","224530580052.493","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224897476611.227","279994211725.862","352615480862.974","322744327818.987","409192468872.686","515009551032.822","533073608485.978","540185748561.537","515532241212.846","583615452086.538","545338573166.104","626304066239.2","501242082185.442","",
"Armenia","ARM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2173850349.42117","2066190377.00437","1063305151.93599","1102577587.37556","1314624315.0776","1466464586.21419","1641664593.9332","1738092424.36104","1954126437.26462","1900422181.5118","1964463665.47966","2182923204.69859","2464539523.1534","2901554573.66484","3684033821.35158","5106476299.62754","6686478520.35524","9703722479.09913","12353321038.6398","9006718263.68016","9718566178.65683","10502184925.9962","11042356211.109","11804012742.1204","12131728962.651","10981745190.9667","10791285367.674","11934826624.7014","12594251072.693","",
"American Samoa","ASM","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","75600000","77000000","67700000","68500000","79200000","84700000","105600000","127200000","139300000","151100000","166000000","178200000","189700000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","77296753.7037037","87479341.4814815","107279978.888889","130231026.666667","145841734.444444","160669278.888889","181144092.962963","207972846.296296","238223924.814815","254406807.407407","297215602.592593","367011801.851852","393313307.037037","414143132.962963","449506333.333333","469614481.481481","512235740.740741","562870333.333333","550421481.481481","607512111.111111","658461555.555555","706823555.555556","742753740.740741","785639888.888889","775952111.111111","773168592.592593","816946814.814815","874491814.814815","980151037.037037","1110262111.11111","1258733888.88889","1307347000","1173432703.7037","1120979666.66667","1102571925.92593","1160321814.81481","1142788111.11111","1185965448.57378","1263883826.22082","1328013016.9202","1400094971.14855","1527958592.59259","",
"Australia","AUS","GNI (current US$)","NY.GNP.MKTP.CD","18601187143.0171","19622578116.2504","19941762795.3858","21435771082.988","23749580020.159","26001791913.9881","27199014447.3065","30170231828.8722","32349647216.9336","36080188150.9688","40788442154.7766","44637697390.5253","51727803738.3178","63757847533.6323","88504053058.2167","97364468114.1609","104903567376.781","109404679972.471","116886983983.758","133036464841.531","148170473537.604","176016486706.142","190045238883.372","175649976602.714","190887520376.743","177695021860.858","178787073307.219","185600847008.999","231230355064.028","291007246966.859","299796844940.362","312075975198.179","312156425440.283","303041736930.86","314915254237.288","354537422037.422","386119119878.604","419944435748.943","386307400122.092","376456949492.418","403232431074.546","367755178705.592","383921096693.177","453337798485.731","595007824726.135","667646218613.742","716994609164.421","815048284525.398","1010904207699.19","895265792961.272","1101613670395.49","1340587597357.78","1499127655186.64","1536979583461.58","1429082897273.48","1324063566020.47","1180243849177.46","1293973150312.99","1389127199441.9","",
"Austria","AUT","GNI (current US$)","NY.GNP.MKTP.CD","6547435003.94828","7261554769.09295","7702864742.40645","8316686909.51263","9107032740.77774","9925462658.2154","10814480797.1072","11489682471.2034","12325481697.6437","13471334741.5813","15443633977.2427","17953394481.7711","22152286802.7859","29621908215.616","35366590989.3993","40232688314.7665","43082843598.9875","51650574306.8854","62141792286.5536","74071758106.0216","82147202191.0232","70953553481.9423","71298486569.3313","72301811935.0391","68089737088.2333","69509477919.6595","98915999819.7386","124038666739.225","133707123927.338","133607136661.466","167219693210.698","173663627224.514","195560525294.265","190907108363.894","203849994458.499","240111095946.499","237117494151.287","211805502311.422","216933192530.013","213744619646.282","195085959093.422","194639373601.79","212139375117.636","261037810383.747","300489570399.801","315305310284.79","336783339606.072","388299616753.353","433883404130.658","399998888580.161","395170908981.876","432573889519.503","409838651404.764","431228759906.245","442578740324.175","378058128962.087","395197917596.426","413575351105.782","454036222862.093","",
"Azerbaijan","AZE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3971446603.10278","3311239404.76759","3044838070.19261","3164576377.58661","3953249309.91217","4433084374.55816","4536277658.67077","4937164150.87434","5340528830.66681","5851180004.11438","6834029321.93036","7979771649.53699","11600042521.6839","18302272330.4231","27970807831.2551","43586308422.5901","40772407439.6616","49435841285.6609","61091863998.987","65416863543.7882","70036719821.5424","72662436950.1466","51046741655.2801","35395431534.7496","39106056123.6347","44479940294.1176","",
"Burundi","BDI","GNI (current US$)","NY.GNP.MKTP.CD","193892004","200819998","211212002","230278000","257986008","157479111.111111","156048000","166971428.571429","169680000","178171428.571429","235283428.571429","243766857.142857","235406857.142857","295982555.669407","336273015.873016","412341587.301587","437150144.927536","537186666.666667","595765555.555556","772336666.666667","921813333.333333","966146666.666667","1005555555.55556","1073595481.44164","974118285.857489","1131604109.70254","1181080844.35491","1103051149.23924","1059467929.76958","1096300427.94028","1117211760.24058","1156153553.73995","1069379682.96184","928818579.07743","913654989.848138","988018268.88428","855125492.320396","960396267.915425","885470806.166974","796772713.286961","884786065.883137","864477157.825014","811709078.127599","766758030.795662","887956197.145997","1099412999.83025","1264575020.63803","1350299364.97898","1607535901.77136","1764455092.55887","2021328812.72312","2218375410.85042","2326791660.28888","2453425870.69514","2698994566.90227","3102740807.08657","2958794875.00111","3167492069.36737","3043033462.71202","",
"Belgium","BEL","GNI (current US$)","NY.GNP.MKTP.CD","11807650531.4178","12526323162.3247","13375866329.3162","14357591976.3048","16056233835.587","17501627559.3633","18795959368.4511","20151866620.6696","21553812529.3565","23898239777.8942","27089802016.9423","30210254748.7871","37705546237.7417","48300143759.0561","56680050952.7755","66428486892.6182","71947320271.6823","83582818007.8784","102036695785.833","116682691799.67","126898081390.537","104870916666.667","91784983665.9015","86845298856.0158","83204002932.1419","86372091650.248","120264512281.019","150162392760.67","163105287218.87","164539499078.624","205980495412.844","211977480921.441","236359025345.044","228457699160.448","250882988184.23","294350437876.3","285695114006.515","258857352277.853","264807068237.386","264172277860.644","242291966095.449","240965995525.727","261601919819.311","323441873589.165","373654333250.559","390387887078.722","413784468699.034","476866548042.705","527755090083.492","490297165879.411","488333574084.956","523481684620.602","507695038585.313","534493384270.569","545897069014.275","468690289764.047","480571701881.761","508431047098.307","546247574063.893","",
"Benin","BEN","GNI (current US$)","NY.GNP.MKTP.CD","225482256.374618","234942178.93575","235707398.233325","253176456.759629","269046284.249259","289108711.752874","302825280.936379","305821992.521166","324923111.412895","328248201.458221","331127773.89255","331970322.836033","408231890.87227","504376035.716401","556954764.489435","675570202.26034","698408244.385343","749849740.536153","929143313.336811","1187431250.04701","1402351617.0042","1287919998.96957","1261778450.07841","1082048347.00551","1021533916.74736","1024412704.80765","1310102040.42149","1533812033.87541","1595446185.67445","1464137967.57012","1921032589.5966","1955598277.10701","1634867229.43653","2234725312.9474","1562942646.55901","2125371588.68986","2315095356.60472","2238481480.09815","2441702752.83506","3663706833.41912","3498981637.45057","3648441384.72945","4146494876.0969","5299173107.79089","6142175584.07889","6547285039.60714","6997650175.4384","8109798133.31531","9736968276.16824","9666591343.28971","9481808905.23597","10677800294.7913","11074624287.2725","12448829094.0102","13223294116.3604","11295642491.5136","11718307251.9058","12561418821.1382","14105967001.3224","",
